,galaxy,v3k,mod0,dl_mpc,z,d_mpc
291,  PGC044740                  ,6405,34.98,99.08319448927666,2.1364780297441638e-05,99.08107764382117
292,  PGC044763                  ,7272,35.09,104.23174293933057,2.4256781002809618e-05,104.22921467409614
293,  PGC044792                  ,7912,34.85,93.32543007969925,2.639159121207779e-05,93.32296713809984
294,  NGC4906                    ,7767,35.09,104.23174293933057,2.590792327404047e-05,104.22904258129245
295,  PGC044805                  ,8183,34.39,75.50922276654342,2.7295549910064783e-05,75.5071617570411
296,  PGC044809                  ,8690,35.23,111.17317272815896,2.8986719872719415e-05,111.16995027595206
297,  PGC044821                  ,8834,34.6,83.17637711026708,2.9467052169804752e-05,83.17392621984399
298,  IC4062                     ,11071,35.38,119.12420080273762,3.692888097938741e-05,119.11980184175312
299,  PGC044848                  ,7904,34.42,76.55966069112569,2.6364906084461936e-05,76.55764225607756
300,  PGC044897                  ,7910,35.25,112.20184543019653,2.6384919930173826e-05,112.19888507159766
301,  ESO507-067                 ,3365,32.66,34.04081897010002,1.1224431803417817e-05,34.040436885537645
302,  PGC044928                  ,6068,34.85,93.32543007969925,2.0240669296623866e-05,93.32354114876526
303,  PGC044929                  ,7817,35.57,130.01695780332926,2.6074705321639545e-05,130.0135677378627
304,  PGC044975                  ,7840,34.95,97.72372209558111,2.615142506353512e-05,97.72116654781702
305,  IC4111                     ,8026,33.22,44.05548635065535,2.6771854280603683e-05,44.05430693516965
306,  NGC4939                    ,3438,32.82,36.643757464783334,1.1467933592912468e-05,36.64333724142522
307,  PGC045190                  ,5775,33.69,54.7015962893971,1.926332649769328e-05,54.70054257498588
308,  ESO508-007                 ,3294,32.16,27.039583641088406,1.0987601295827128e-05,27.03928654418853
309,  ESO323-085                 ,3394,30.43,12.189895989248674,1.1321165391025281e-05,12.189757986982428
310,  ESO269-052                 ,3472,33.8,57.543993733715666,1.158134538527984e-05,57.543327304567526
311,  ESO508-019                 ,3270,32.99,39.627803425544016,1.0907545912979571e-05,39.62737118817337
312,  ESO269-057                 ,3358,33.21,43.853069777498604,1.1201082316753947e-05,43.852578581156116
313,  ESO576-001                 ,3197,34.48,78.7045789695097,1.066404412348492e-05,78.70373966935718
314,  ESO576-003                 ,3275,32.39,30.06076302628229,1.0924224117739479e-05,30.060434639357215
315,  NGC5004A                   ,7519,34.2,69.18309709189376,2.508068431794905e-05,69.18136197599334
316,  ESO576-005                 ,3071,34.12,66.68067692136218,1.024375336353525e-05,66.67999386795071
317,  NGC5011A                   ,3432,32.51,31.76874070649769,1.1447919747200578e-05,31.76837702466701
318,  UGC08294                   ,6348,34.48,78.7045789695097,2.117464876317869e-05,78.70291246298164
319,  PGC045981                  ,7490,36.08,164.4371723214929,2.498395073034159e-05,164.43306413392017
320,  NGC5051                    ,4714,34.51,79.79946872679753,1.5724211447640888e-05,79.79821396280803
321,  IC4216                     ,3157,32.75,35.481338923357534,1.053061848540566e-05,35.4809652868486
322,  ESO269-085                 ,3111,31.48,19.769696401118658,1.037717900161451e-05,19.76949124956919
323,  NGC5090                    ,3201,32.88,37.670379898390934,1.0677386687292847e-05,37.66997768147273
324,  NGC5104                    ,5871,34.31,72.77798045368242,1.9583548029083508e-05,72.77655523051767
325,  NGC5105                    ,3216,32.66,34.04081897010002,1.072742130157257e-05,34.04045380381077
326,  PGC046710                  ,7164,34.53,80.53784411990677,2.3896531779995614e-05,80.53591959074483
327,  IC4232                     ,9779,35.44,122.46161992650464,3.261923286942729e-05,122.45762545270335
328,  ESO508-067                 ,7853,35.17,108.14339512979397,2.619478839591088e-05,108.1405624106446
329,  IC4239                     ,14766,37.11,264.24087573219504,4.925407429695913e-05,264.2278614334767
330,  ESO508-075                 ,10236,35.44,122.46161992650464,3.414362078448284e-05,122.4574387861525
331,  NGC5152                    ,4188,34.61,83.56030182312473,1.3969664306898608e-05,83.55913453006558
332,  ESO383-005                 ,3885,33.54,51.05049999754065,1.2958965098448207e-05,51.04983844446597
333,  PGC047514                  ,4523,34.15,67.60829753919819,1.5087104025812417e-05,67.60727754116903
334,  NGC5304                    ,4041,34.01,63.38697112569263,1.3479325086957324e-05,63.38611672361931
335,  PGC049153                  ,8610,35.7,138.03842646028866,2.8719868596560892e-05,138.0344621286745
336,  ESO445-066                 ,7521,34.96,98.17479430199843,2.5087355599853016e-05,98.17233141781008
337,  ESO384-015                 ,3800,32.85,37.153522909717275,1.2675435617529778e-05,37.153051978598924
338,  ESO445-085                 ,4542,34.39,75.50922276654342,1.5150481203900066e-05,75.50807878281508
339,  ESO221-022                 ,3125,32.67,34.197944251370934,1.0423877974942252e-05,34.19758777988888
340,  NGC5440                    ,3888,33.67,54.20008904016238,1.2968972021304152e-05,54.199386129840086
341,  ESO384-043                 ,4655,34.48,78.7045789695097,1.5527408631473977e-05,78.70335691032628
342,  NGC5468                    ,3111,33.4,47.863009232263806,1.037717900161451e-05,47.86251255440356
343,  ESO325-055                 ,4264,34.05,64.56542290346549,1.4223173019249204e-05,64.56450459134578
344,  PGC050620                  ,5114,32.09,26.18183008218992,1.7058467828433495e-05,26.181383467902325
345,  PGC051473                  ,11330,36.18,172.18685749860097,3.7792811985950625e-05,172.1803503189937
346,  NGC5671                    ,9025,35.21,110.15393095414146,3.010415959163322e-05,110.15061496244951
347,  UGC09291                   ,3045,32.92,38.37072454922792,1.015702669878373e-05,38.370334820712706
348,  UGC09303                   ,4457,34.63,84.33347577642756,1.4866951722981638e-05,84.3322220133542
349,  ESO385-031                 ,3334,32.84,36.98281797802667,1.112102693390639e-05,36.98240669568572
350,  NGC5653                    ,3745,33.22,44.05548635065535,1.2491975365170794e-05,44.0549360174799
351,  ESO385-033                 ,3270,32.12,26.54605561975536,1.0907545912979571e-05,26.545766070593153
352,  ESO385-032                 ,3056,32.85,37.153522909717275,1.0193718749255527e-05,37.15314418101484
353,  IC4472                     ,3060,32.33,29.241523778433308,1.0207061313063453e-05,29.241225311453686
354,  ESO386-016                 ,7489,35.54,128.2330582656023,2.4980615089389607e-05,128.22985500495145
355,  IC1055                     ,3127,33.17,43.0526610491711,1.0430549256846214e-05,43.05221199095332
356,  PGC052882                  ,12811,35.19,109.14403364487572,4.273289623583526e-05,109.13936980351066
357,  ESO580-041                 ,3160,32.33,29.241523778433308,1.0540625408261605e-05,29.241215557733632
358,  NGC5786                    ,3160,32.02,25.351286304979123,1.0540625408261605e-05,25.351019089383183
359,  ESO327-039                 ,3098,31.82,23.12064790175594,1.033381566923875e-05,23.12040897971135
360,  UGC09640                   ,10199,35.74,140.60475241299127,3.402020206925953e-05,140.59996917362906
361,  PGC053634                  ,3131,33.01,39.9944749761097,1.0443891820654141e-05,39.99405728250197
362,  PGC053796                  ,3129,33.38,47.42419852602448,1.0437220538750177e-05,47.42370355437172
363,  UGC09798                   ,11469,35.81,145.2111617587745,3.825646607827606e-05,145.20560670540718
364,  PGC054774                  ,18272,38.89,599.7910762555101,6.094883147460634e-05,599.7545219182275
365,  ESO514-014                 ,3862,34.28,71.77942912713615,1.2882245356552632e-05,71.7785044588304
366,  ESO514-022                 ,4597,34.14,67.29766562843183,1.533394145625905e-05,67.29663370579037
367,  ESO515-010                 ,5864,34.39,75.50922276654342,1.9560198542419636e-05,75.50774582004368
368,  PGC056286                  ,10928,36.21,174.58221529205076,3.6451884323254056e-05,174.57585167329995
369,  PGC056443                  ,9714,35.82,145.88142602753476,3.240241620754849e-05,145.87669927001002
370,  ESO583-008                 ,7529,35.65,134.89628825916506,2.5114040727468866e-05,134.89290055336673
371,  PGC057064                  ,10347,36.37,187.93168168032645,3.4513876930152795e-05,187.9251956532516
372,  ESO451-008                 ,4790,34.58,82.41381150130013,1.5977720159991482e-05,82.41249473752153
373,  ESO136-024                 ,4595,33.53,50.8159442560561,1.5327270174355087e-05,50.815165398287085
374,  ESO584-007                 ,9611,35.65,134.89628825916506,3.205884518949439e-05,134.891963778581
375,  ESO137-007                 ,5045,33.19,43.45102241715714,1.682830860274677e-05,43.45029122224757
376,  ESO137-010                 ,3489,33.64,53.45643593969714,1.1638051281463525e-05,53.45581381819462
377,  IC4596                     ,7721,35.83,146.5547840955913,2.575448379024932e-05,146.55100974998624
378,  NGC6172                    ,5101,34.64,84.72274141405964,1.7015104496057737e-05,84.72129987228928
379,  UGC10483                   ,12173,36.2,173.78008287493762,4.0604757308471046e-05,173.77302686335506
380,  ESO517-013                 ,8346,35.76,141.90575216890898,2.783925938523777e-05,141.90180172784343
381,  PGC059076                  ,8830,35.41,120.78138351067773,2.9453709605996827e-05,120.7778261556593
382,  PGC059808                  ,8057,35.05,102.32929922807537,2.687525915011511e-05,102.32654917554834
383,  NGC6365                    ,7973,35.27,113.24003632355577,2.6595065310148662e-05,113.23702477748628
384,  NGC6372                    ,4708,33.07,41.114972110452214,1.5704197601928998e-05,41.11432644294548
385,  UGC10874                   ,6754,35.53,127.64388088113435,2.252891898968319e-05,127.64100526726692
386,  PGC060376                  ,8726,35.42,121.33888504649761,2.910680294699075e-05,121.33535336227679
387,  NGC6484                    ,3037,33.61,52.72298614228222,1.0130341571167878e-05,52.72245204583452
388,  UGC11041                   ,4778,34.23,70.145529841997,1.5937692468567706e-05,70.14441190193172
389,  UGC11050                   ,4778,34.27,71.44963260755151,1.5937692468567706e-05,71.44849388342864
390,  PGC061289                  ,4556,34.03,63.973483548264824,1.5197180177227808e-05,63.97251134648351
391,  UGC11182                   ,4194,34.0,63.09573444801929,1.3989678152610498e-05,63.09485177134993
392,  UGC11188                   ,5172,33.7,54.954087385762485,1.7251935003648424e-05,54.95313933777438
393,  UGC11194                   ,4618,34.02,63.67955209079162,1.540398991625066e-05,63.678571186723175
394,  ESO182-010                 ,3524,31.68,21.677041048196966,1.1754798714782879e-05,21.676786241937908
395,  NGC6627                    ,5149,34.33,73.45138681571144,1.7175215261752848e-05,73.45012529399851
396,  UGC11255                   ,9614,35.38,119.12420080273762,3.206885211235034e-05,119.12038074886382
397,  UGC11254                   ,4859,33.79,57.279603098582925,1.6207879385678208e-05,57.27867473273148
398,  UGC11275                   ,5323,35.23,111.17317272815896,1.7755616787397634e-05,111.17119881495502
399,  UGC11301                   ,4358,34.3,72.44359600749891,1.4536723268735467e-05,72.44254293029945
400,  UGC11334                   ,4491,35.01,100.46157902783926,1.4980363515349008e-05,100.46007409941046
401,  UGC11317                   ,6432,34.96,98.17479430199843,2.145484260314514e-05,98.17268802242899
402,  UGC11344                   ,3685,33.83,58.34451042737447,1.2291836908051903e-05,58.343793274982936
403,  UGC11350                   ,4546,34.13,66.98846094165272,1.5163823767707992e-05,66.98744515583972
404,  IC4758                     ,4470,33.9,60.25595860743569,1.4910315055357397e-05,60.25506018550465
405,  UGC11371                   ,3589,33.43,48.5288500162121,1.1971615376661677e-05,48.52826905444009
406,  ESO396-007                 ,5743,34.34,73.79042301291015,1.915658598722987e-05,73.78900946740538
407,  IC4810                     ,3124,32.71,34.833731503601165,1.042054233399027e-05,34.83336852100986
408,  UGC11394                   ,4057,34.06,64.86344335482389,1.3532695342189028e-05,64.86256558948466
409,  UGC11404                   ,3732,32.88,37.670379898390934,1.2448612032795035e-05,37.66991096028408
410,  ESO282-018                 ,5504,33.97,62.23002851691589,1.8359367799706288e-05,62.22888603390942
411,  UGC11433                   ,4248,33.58,51.99959965335152,1.41698027640175e-05,51.99886283972113
412,  ESO525-004                 ,5932,34.61,83.56030182312473,1.978702212715438e-05,83.558648446299
413,  PGC063540                  ,5795,34.47,78.3429642766212,1.933003931673291e-05,78.34144993331385
414,  ESO460-031                 ,5618,34.59,82.79421637123362,1.873963086823218e-05,82.79266486725541
415,  ESO398-029                 ,5500,34.44,77.26805850957021,1.8346025235898363e-05,77.26664097382502
416,  ESO461-006                 ,5773,34.44,77.26805850957021,1.925665521578932e-05,77.2665706138602
417,  PGC063832                  ,4548,34.07,65.16283940608427,1.5170495049611956e-05,65.16185086854826
418,  ESO339-008                 ,5508,34.17,68.23386941416705,1.8372710363514213e-05,68.23261579607968
419,  PGC063925                  ,12038,36.33,184.50154191794738,4.015444577995354e-05,184.49413365826067
420,  IC4919                     ,4162,33.78,57.01642722807478,1.3882937642147089e-05,57.01563568355996
421,  UGC11515                   ,3098,30.35,11.748975549395302,1.033381566923875e-05,11.748854138902306
422,  PGC064373                  ,5343,34.89,95.0604793656281,1.7822329606437263e-05,95.05878519662635
423,  UGC11537                   ,5139,34.33,73.45138681571144,1.7141858852233033e-05,73.45012774398899
424,  PGC064534                  ,5399,34.4,75.85775750291836,1.8009125499748228e-05,75.85639139564576
425,  NGC6901                    ,4511,34.32,73.11390834834172,1.504707633438864e-05,73.11280821433549
426,  NGC6906                    ,4578,34.08,65.46361740672747,1.52705642781714e-05,65.46261775561521
427,  UGC11552                   ,4244,34.42,76.55966069112569,1.4156460200209572e-05,76.55857689267891
428,  PGC064812                  ,5304,33.85,58.88436553555896,1.7692239609309986e-05,58.88332375768605
429,  ESO340-038                 ,5359,33.7,54.954087385762485,1.7875699861668968e-05,54.95310506054996
430,  UGC11584                   ,5069,34.75,89.12509381337459,1.6908363985594328e-05,89.12358687932793
431,  UGC11595                   ,3727,33.64,53.45643593969714,1.2431933828035127e-05,53.4557713810846
432,  UGC11603                   ,5033,33.89,59.97910762555101,1.6788280911322994e-05,59.978100696347994
433,  UGC11599                   ,4159,33.97,62.23002851691589,1.3872930719291144e-05,62.229165216018124
434,  PGC065131                  ,3618,33.2,43.651583224016655,1.2068348964269142e-05,43.65105642783503
435,  ESO234-069                 ,4228,33.96,61.94410750767811,1.4103089944977868e-05,61.9432339166787
436,  UGC11647                   ,7699,35.29,114.28783347897713,2.5681099689305727e-05,114.28489851710535
437,  NGC6986                    ,8264,35.35,117.48975549395304,2.7565736827175284e-05,117.48651689154767
438,  UGC11656                   ,4269,34.04,64.26877173170195,1.4239851224009111e-05,64.26785656698596
439,  UGC11706                   ,4415,34.61,83.56030182312473,1.4726854802998414e-05,83.5590712608148
440,  UGC11719                   ,8223,35.97,156.31476426409506,2.7428975548144042e-05,156.31047682784822
441,  UGC11725                   ,5924,35.34,116.94993910198747,1.976033699953853e-05,116.94762817744338
442,  PGC066592                  ,3732,33.63,53.210825926679526,1.2448612032795035e-05,53.210163533997495
443,  IC5104                     ,4636,34.06,64.86344335482389,1.546403145338633e-05,64.86244032000664
444,  UGC11758                   ,8280,35.08,103.75284158180126,2.761910708240699e-05,103.74997610010155
445,  UGC11780                   ,14930,36.54,203.23570109362208,4.98011194130841e-05,203.22558023223317
446,  NGC7131                    ,5094,34.39,75.50922276654342,1.6991755009393866e-05,75.50793975412985
447,  UGC11839                   ,5635,34.95,97.72372209558111,1.8796336764415868e-05,97.72188528211609
448,  UGC11862                   ,5540,34.46,77.98301105232593,1.8479450873977622e-05,77.98156999573412
449,  UGC11895                   ,4415,34.02,63.67955209079162,1.4726854802998414e-05,63.67861430508469
450,  UGC11918                   ,3963,33.95,61.65950018614834,1.3219145092702765e-05,61.65868511104363
451,  UGC11946                   ,5254,34.77,89.94975815300364,1.7525457561710908e-05,89.9481817699613
452,  IC1441                     ,4824,34.51,79.79946872679753,1.6091131952358856e-05,79.79818468367822
453,  PGC068872                  ,7275,35.08,103.75284158180126,2.426678792566556e-05,103.75032389469408
454,  PGC069160                  ,9958,36.22,175.38805018417602,3.321631259983198e-05,175.38222463337814
455,  UGC12135                   ,3855,33.36,46.98941086052151,1.2858895869888762e-05,46.98880663634992
456,  UGC12204                   ,6417,35.14,106.6596121230259,2.1404807988865417e-05,106.65732914337497
457,  IC1468                     ,9249,36.05,162.18100973589264,3.085134316487708e-05,162.17600638826647
458,  UGC12410                   ,6747,35.3,114.81536214968793,2.250556950301932e-05,114.81277822272779
459,  ESO291-011                 ,12752,36.34,185.3531623414814,4.253609341966835e-05,185.3452784774012
460,  PGC071171                  ,3629,32.74,35.3183169791957,1.2105041014740937e-05,35.3178894546953
461,  PGC071197                  ,3227,32.92,38.37072454922792,1.0764113352044367e-05,38.3703115268453
462,  PGC071754                  ,4490,33.43,48.5288500162121,1.4977027874397027e-05,48.5281232091581
463,  PGC072169                  ,7086,35.06,102.80162981264746,2.3636351785741056e-05,102.79920001459261
464,  UGC12814                   ,5522,34.77,89.94975815300364,1.8419409336841957e-05,89.94810136210558
465,  PGC072633                  ,9611,35.48,124.73835142429432,3.205884518949439e-05,124.734352584995
466,  NGC7761                    ,6847,35.12,105.68175092136563,2.283913359821747e-05,105.67933729686254
467,  ESO471-027                 ,8521,35.35,117.48975549395304,2.8422996551834536e-05,117.48641617795111
468,  PGC072734                  ,5694,35.14,106.6596121230259,1.899313958058278e-05,106.65758636060082
469,  ESO538-013                 ,9880,35.96,155.5965631605075,3.2956132605577426e-05,155.5914354685279
470,  PGC073123                  ,7287,35.42,121.33888504649761,2.430681561708934e-05,121.33593575627944
471,  NGC7796                    ,3173,33.47,49.43106869868354,1.0583988740637365e-05,49.43054552634625
472,  PGC073507                  ,12895,36.05,162.18100973589264,4.3013090075801706e-05,162.17403412955468
473,  PGC074050                  ,4513,34.26,71.12135136533281,1.5053747616292602e-05,71.12028073857618
474,  PGC077827                  ,3394,34.38,75.1622894018206,1.1321165391025281e-05,75.16143848674447
475,  PGC079913                  ,6934,34.79,90.78205301781861,2.3129334361039864e-05,90.77995333792457
476,  PGC083664                  ,7151,35.16,107.64652136298349,2.3853168447619853e-05,107.6439537136232
477,  PGC083665                  ,8378,33.85,58.88436553555896,2.7945999895701177e-05,58.88271999907201
478,  PGC083667                  ,7190,34.13,66.98846094165272,2.3983258444747134e-05,66.98685437861175
479,  PGC083719                  ,6172,34.87,94.18895965228398,2.0587575955629945e-05,94.18702056984397
480,  PGC083725                  ,7897,33.37,47.206304126358994,2.6341556597798068e-05,47.20506067158161
481,  PGC083715                  ,7246,34.23,70.145529841997,2.4170054338058098e-05,70.14383446170659
482,  PGC083740                  ,8515,33.47,49.43106869868354,2.8402982706122647e-05,49.429664748770506
483,  PGC083742                  ,8141,34.16,67.9203632617183,2.715545299008156e-05,67.91851890357106
484,  PGC086266                  ,4560,33.85,58.88436553555896,1.5210522741035733e-05,58.883469887201166
485,  PGC086269                  ,3320,33.31,45.919801283686944,1.1074327960578648e-05,45.919292758379214
486,  PGC086290                  ,3432,33.47,49.43106869868354,1.1447919747200578e-05,49.43050282225416
487,  PGC089942                  ,3052,32.1,26.302679918953814,1.01803761854476e-05,26.30241215050354
488,  PGC090392                  ,3803,32.21,27.669416454115126,1.2685442540385723e-05,27.66906545977509
489,  PGC090548                  ,5813,35.18,108.64256236170645,1.939008085386858e-05,108.64045581448421
490,  PGC090591                  ,11480,36.06,162.92960326397213,3.8293158128747856e-05,162.9233644138158
491,  PGC090592                  ,7431,35.03,101.39113857366799,2.4787147914174678e-05,101.38862543881241
492,  PGC090595                  ,5642,35.98,157.03628043335516,1.881968625107974e-05,157.0333251154455
493,  PGC090695                  ,6244,34.68,86.29785477669702,2.0827742104172613e-05,86.29605742466838
494,  PGC090717                  ,10010,35.92,152.75660582380763,3.338976592933502e-05,152.7515054867941
495,  PGC090751                  ,4294,34.96,98.17479430199843,1.4323242247808649e-05,98.1733881407778
496,  PGC090766                  ,5339,35.05,102.32929922807537,1.7808987042629338e-05,102.32747687936552
497,  PGC090771                  ,6745,34.53,80.53784411990677,2.2498898221115356e-05,80.53603214791633
498,  PGC090775                  ,7447,35.21,110.15393095414146,2.4840518169406382e-05,110.15119474138712
499,  PGC090776                  ,3429,34.23,70.145529841997,1.1437912824344633e-05,70.14472753271839
500,  PGC090778                  ,9802,36.05,162.18100973589264,3.2695952611322864e-05,162.1757072466538
501,  PGC090784                  ,8841,36.49,198.60949173573718,2.9490401656468624e-05,198.60363483477548
502,  PGC090811                  ,4331,34.56,81.65823713585938,1.4446660963031965e-05,81.65705746403495
503,  PGC090817                  ,5787,35.14,106.6596121230259,1.930335418911706e-05,106.6575532744981
504,  PGC090844                  ,4934,33.66,53.951062251512674,1.6458052457076823e-05,53.950174336713374
505,  PGC090927                  ,4947,34.78,90.36494737223023,1.650141578945258e-05,90.36345624726654
506,  PGC091580                  ,10624,36.62,210.86281499332887,3.543784947385167e-05,210.85534273343234
507,  PGC091586                  ,6310,34.9,95.4992586021435,2.1047894407003396e-05,95.49724858613911
508,  PGC091594                  ,9023,35.48,124.73835142429432,3.009748830972926e-05,124.7345972262125
509,  PGC091630                  ,5174,34.0,63.09573444801929,1.725860628555239e-05,63.09464552237349
510,  PGC091643                  ,4738,34.83,92.4698173938221,1.5804266830488443e-05,92.4683559992505
511,  PGC091656                  ,3594,32.67,34.197944251370934,1.1988293581421585e-05,34.19753428129021
512,  PGC091777                  ,4760,34.33,73.45138681571144,1.5877650931432037e-05,73.45022059874795
513,  PGC092378                  ,6207,34.34,73.79042301291015,2.0704323388949297e-05,73.78889526376011
514,  PGC097023                  ,5395,32.27,28.444611074479194,1.7995782935940302e-05,28.444099200644168
515,  PGC097032                  ,4368,33.08,41.3047501990161,1.4570079678255282e-05,41.30414839428295
516,  PGC097067                  ,4335,32.94,38.725764492161645,1.446000352683989e-05,38.72520452556763
517,  PGC097081                  ,5533,33.11,41.879356511791826,1.8456101387313754e-05,41.87858359640701
518,  PGC097109                  ,5983,30.64,13.427649611378643,1.9957139815705436e-05,13.42738163924591
519,  PGC097136                  ,3530,33.77,56.75446054085477,1.1774812560494768e-05,56.75379227558863
520,  PGC097187                  ,5243,34.9,95.4992586021435,1.748876551123911e-05,95.4975884672119
521,  PGC100768                  ,4301,33.45,48.97788193684466,1.4346591734472519e-05,48.977179281249214
522,  PGC132177                  ,19103,37.49,314.77483141013244,6.372074910570299e-05,314.75477500008486
523,  PGC142820                  ,5333,34.2,69.18309709189376,1.778897319691745e-05,69.18186641752634
524,  PGC155511                  ,4221,34.49,79.0678627999826,1.4079740458313998e-05,79.0667495606699
525,  PGC165356                  ,3050,32.55,32.35936569296281,1.0173704903543638e-05,32.35903648167468
526,  PGC165788                  ,4932,34.3,72.44359600749891,1.645138117517286e-05,72.44240422989368
527,  PGC166472                  ,4198,34.03,63.973483548264824,1.4003020716418423e-05,63.97258773879343
528,  PGC166559                  ,4264,34.37,74.81695005111538,1.4223173019249204e-05,74.81588593182518
529,  PGC166628                  ,5670,29.68,8.629785477669703,1.891308419773522e-05,8.629622264897213
530,  PGC166758                  ,4180,33.86,59.156163417547425,1.3942979179282756e-05,59.15533861589277
531,  PGC166785                  ,4480,34.09,65.76578373554213,1.4943671464877212e-05,65.76480096796251
532,  PGC200171                  ,23998,37.62,334.1950400261136,8.004871156565253e-05,334.16829028503014
533,  PGC212843                  ,11017,36.06,162.92960326397213,3.674875636798041e-05,162.92361602370028
534,  PGC213672                  ,9534,35.96,155.5965631605075,3.180200083619182e-05,155.59161503583599
535,  PGC214810                  ,7432,34.96,98.17479430199843,2.479048355512666e-05,98.17236056170836
536,  PGC340526                  ,15048,36.65,213.79620895022325,5.019472504541792e-05,213.78547804693395
537,  PGC471591                  ,18092,37.29,287.0780582024692,6.034841610324967e-05,287.06073454181416
538,  PGC575633                  ,3584,33.75,56.23413251903491,1.195493717190177e-05,56.23346025155064
539,  PGC576005                  ,4941,32.66,34.04081897010002,1.648140194374069e-05,34.040257938926665
540,  PGC576636                  ,5019,33.37,47.206304126358994,1.674158193799525e-05,47.20551383138125
541,  PGC648636                  ,15040,36.97,247.7422057633286,5.016803991780207e-05,247.7297776459548
542,  PGC662260                  ,21010,37.52,319.1537855100771,7.008181640113175e-05,319.1314202004788
543,  PGC679349                  ,15419,36.8,229.086765276777,5.1432247838603066e-05,229.0749834354553
544,  PGC065022                  ,5520,35.02,100.92528860766876,1.8412738054937993e-05,100.92343033098247
545,  PGC214719                  ,22402,37.49,314.77483141013244,7.472502860629003e-05,314.75131160936854
546,  NGC0812                    ,4944,33.74,55.975760149511046,1.6491408866596638e-05,55.974837045587094
547,  UGC02540                   ,3750,35.1,104.71285480508985,1.2508653569930702e-05,104.71154500464863
548,  NGC1260                    ,5592,34.17,68.23386941416705,1.865290420348066e-05,68.23259667807766
549,  UGC02637                   ,4958,33.38,47.42419852602448,1.653810783992438e-05,47.42341423248577
550,  UGC02650                   ,8308,35.62,133.04544179780873,2.7712505029062473e-05,133.04175487750763
551,  UGC02708                   ,5176,34.44,77.26805850957021,1.726527756745635e-05,77.26672447812537
552,  UGC02956                   ,4434,33.78,57.01642722807478,1.4790231981086061e-05,57.01558395436156
553,  UGC03092                   ,4730,34.28,71.77942912713615,1.5777581702872592e-05,71.77829663919644
554,  UGC03110                   ,4430,33.73,55.71857489319292,1.4776889417278136e-05,55.717751558139575
555,  UGC03172                   ,4688,34.17,68.23386941416705,1.563748478288937e-05,68.23280242475744
556,  NGC1819                    ,4466,33.9,60.25595860743569,1.489697249154947e-05,60.255060989449646
557,  UGC03375                   ,5797,33.48,49.65923214503358,1.9336710598636874e-05,49.658271917400675
558,  UGC03922                   ,8878,35.7,138.03842646028866,2.9613820371691937e-05,138.0343387361762
559,  UGC03919                   ,4919,33.86,59.156163417547425,1.64080178427971e-05,59.1551927980885
560,  UGC03776                   ,4014,33.21,43.853069777498604,1.3389262781253824e-05,43.85248262508513
561,  NGC2756                    ,4128,33.51,50.35006087879047,1.3769525849779717e-05,50.349367591871896
562,  UGC06609                   ,8038,35.34,116.94993910198747,2.6811881972027463e-05,116.946803538094
563,  NGC4495                    ,4844,34.25,70.79457843841374,1.6157844771398485e-05,70.79343456908713
564,  NGC4704                    ,8366,35.21,110.15393095414146,2.79059722042774e-05,110.15085708738529
565,  NGC4919                    ,7568,34.63,84.33347577642756,2.5244130724596147e-05,84.33134690488211
566,  NGC4979                    ,6596,33.5,50.118723362727245,2.200188771927011e-05,50.11762068046428
567,  UGC08399                   ,7489,35.39,119.67405313072419,2.4980615089389607e-05,119.67106367394521
568,  PGC046604                  ,15951,36.46,195.8844673505989,5.3206808825057235e-05,195.87404551770524
569,  UGC08472                   ,6866,35.22,110.66237839776676,2.290251077630512e-05,110.65984400949682
570,  UGC10704                   ,19279,37.05,257.03957827688646,6.430782191325174e-05,257.0230496843797
571,  UGC10780                   ,6726,35.0,100.0,2.2435521043027708e-05,99.99775649822983
572,  UGC11149                   ,16160,36.89,238.78112829131783,5.3903957784021373e-05,238.7682577372326
573,  UGC11377                   ,7373,34.95,97.72372209558111,2.459368073895975e-05,97.72131876866591
574,  UGC11422                   ,4488,32.58,32.809529311311906,1.4970356592493065e-05,32.809038148311366
575,  UGC11677                   ,4649,34.41,76.20790100254113,1.5507394785762087e-05,76.20671923486063
576,  UGC11768                   ,6277,35.32,115.87773561551262,2.0937818255588005e-05,115.87530943934327
577,  UGC11799                   ,5064,34.45,77.62471166286927,1.689168578083442e-05,77.62340047277925
578,  NGC7461                    ,3871,33.8,57.543993733715666,1.2912266125120467e-05,57.54325071994866
579,  UGC00669                   ,5542,33.2,43.651583224016655,1.8486122155881587e-05,43.650776290433946
580,  UGC00679                   ,4812,33.7,54.954087385762485,1.6051104260935076e-05,54.95320532613433
581,  NGC0382                    ,4928,34.25,70.79457843841374,1.6438038611364934e-05,70.79341473352892
582,  NGC0495                    ,3822,34.2,69.18309709189376,1.274881971847337e-05,69.18221510030571
583,  NGC0494                    ,5098,34.09,65.76578373554213,1.700509757320179e-05,65.76466540099011
584,  UGC01066                   ,4789,34.34,73.79042301291015,1.5974384519039503e-05,73.78924427514875
585,  IC0126                     ,5602,34.31,72.77798045368242,1.8686260613000476e-05,72.77662053078464
586,  UGC01666                   ,13054,36.31,182.81002161427446,4.354345698716677e-05,182.80206178056014
587,  NGC0841                    ,4308,33.74,55.975760149511046,1.436994122113639e-05,55.97495579268645
588,  UGC01988                   ,5570,33.94,61.37620051647933,1.857952010253707e-05,61.37506019731459
589,  UGC02035                   ,4879,34.07,65.16283940608427,1.6274592204717838e-05,65.16177892470493
