,galaxy,v3k,mod0,dl_mpc,z,d_mpc
65,  UGC01845                   ,4452,31.28,18.0301774085957,1.4850273518221728e-05,18.029909659505748
66,  UGC01867                   ,4990,33.87,59.42921586155715,1.6644848350387787e-05,59.428226687736206
67,  UGC01993                   ,7811,35.21,110.15393095414146,2.6054691475927656e-05,110.1510610022313
68,  PGC009800                  ,4556,33.97,62.23002851691589,1.5197180177227808e-05,62.22908281033216
69,  ESO545-038                 ,4459,35.98,157.03628043335516,1.48736230048856e-05,157.0339447696617
70,  PGC010738                  ,10121,36.23,176.19760464116237,3.3760022075004966e-05,176.19165640695263
71,  PGC010948                  ,6165,34.42,76.55966069112569,2.0564226468966073e-05,76.5580863333003
72,  PGC011004                  ,3364,33.27,45.08167045414609,1.1221096162465835e-05,45.08116459406307
73,  UGC02404                   ,4781,34.43,76.91304402866098,1.594769939142365e-05,76.91181746211643
74,  NGC1162                    ,3750,33.06,40.926065973001094,1.2508653569930702e-05,40.92555404942334
75,  PGC011365                  ,8780,35.52,127.05741052085446,2.928692755839775e-05,127.05368950865379
76,  UGC02511                   ,3668,33.71,55.20774392807573,1.2235131011868218e-05,55.20706846236031
77,  ESO300-009                 ,5954,34.76,89.53647655495938,1.9860406228097974e-05,89.53469835947845
78,  PGC011767                  ,8494,35.47,124.16523075924094,2.8332934246131034e-05,124.16171289359364
79,  NGC1259                    ,5670,34.2,69.18309709189376,1.891308419773522e-05,69.18178865090006
80,  UGC02829                   ,5863,34.74,88.71560120379618,1.9556862901467654e-05,88.71386623887668
81,  ESO156-008                 ,17644,36.97,247.7422057633286,5.8854048956761946e-05,247.72762598950067
82,  UGC02868                   ,5294,34.65,85.11380382023759,1.765888319979017e-05,85.11230083205834
83,  PGC014370                  ,4435,34.35,74.13102413009177,1.4793567622038043e-05,74.12992748399672
84,  UGC02988                   ,3712,33.71,55.20774392807573,1.2381899213755405e-05,55.20706035981847
85,  PGC014780                  ,8836,35.24,111.68632477805612,2.9473723451708717e-05,111.68303306322537
86,  UGC03009                   ,3657,33.15,42.65795188015926,1.2198438961396421e-05,42.65743152608454
87,  NGC1558                    ,4507,33.91,60.53408747539124,1.5033733770580712e-05,60.533177435717384
88,  UGC03028                   ,5393,33.64,53.45643593969714,1.798911165403634e-05,53.45547432320102
89,  UGC03066                   ,4573,34.07,65.16283940608427,1.5253886073411493e-05,65.16184543471768
